
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        156 K
Secure System                   56 Services                   0     54,852 K
Registry                       112 Services                   0    143,488 K
smss.exe                       404 Services                   0      1,212 K
csrss.exe                      604 Services                   0      5,176 K
wininit.exe                    824 Services                   0      5,120 K
csrss.exe                      832 Console                    1      5,264 K
services.exe                   904 Services                   0     10,244 K
LsaIso.exe                     912 Services                   0      2,348 K
lsass.exe                      932 Services                   0     27,676 K
svchost.exe                    556 Services                   0     28,468 K
WUDFHost.exe                   632 Services                   0      7,344 K
fontdrvhost.exe                640 Services                   0      3,000 K
svchost.exe                    752 Services                   0     15,984 K
svchost.exe                    548 Services                   0      9,764 K
winlogon.exe                  1036 Console                    1     10,684 K
fontdrvhost.exe               1096 Console                    1     11,632 K
dwm.exe                       1172 Console                    1    214,332 K
svchost.exe                   1236 Services                   0     11,356 K
svchost.exe                   1276 Services                   0      3,832 K
svchost.exe                   1284 Services                   0      3,732 K
svchost.exe                   1360 Services                   0      9,260 K
svchost.exe                   1372 Services                   0     11,216 K
svchost.exe                   1444 Services                   0     15,156 K
svchost.exe                   1500 Services                   0     41,572 K
svchost.exe                   1512 Services                   0      5,008 K
svchost.exe                   1588 Services                   0     18,280 K
svchost.exe                   1620 Services                   0     10,536 K
svchost.exe                   1708 Services                   0      4,588 K
svchost.exe                   1772 Services                   0      8,216 K
svchost.exe                   1852 Services                   0     19,684 K
svchost.exe                   1860 Services                   0      7,240 K
svchost.exe                   1976 Services                   0      6,504 K
vmms.exe                      2032 Services                   0     34,100 K
svchost.exe                   1432 Services                   0     11,624 K
svchost.exe                   2056 Services                   0      5,632 K
svchost.exe                   2152 Services                   0      6,884 K
svchost.exe                   2228 Services                   0      8,892 K
NVDisplay.Container.exe       2240 Services                   0     16,848 K
svchost.exe                   2284 Services                   0      7,184 K
svchost.exe                   2376 Services                   0      6,884 K
svchost.exe                   2388 Services                   0     13,392 K
svchost.exe                   2412 Services                   0      4,196 K
svchost.exe                   2488 Services                   0      7,676 K
svchost.exe                   2532 Services                   0      8,980 K
igfxCUIService.exe            2592 Services                   0      8,120 K
Memory Compression            2604 Services                   0        836 K
svchost.exe                   2660 Services                   0      7,856 K
svchost.exe                   2672 Services                   0      6,376 K
svchost.exe                   2784 Services                   0      8,016 K
svchost.exe                   2824 Services                   0     11,456 K
svchost.exe                   2936 Services                   0      8,952 K
svchost.exe                   2988 Services                   0      5,616 K
NVDisplay.Container.exe       1752 Console                    1     47,396 K
svchost.exe                   2696 Services                   0     52,004 K
svchost.exe                   3196 Services                   0      8,724 K
vmcompute.exe                 3276 Services                   0      8,380 K
svchost.exe                   3984 Services                   0     12,872 K
svchost.exe                   3216 Services                   0      5,468 K
svchost.exe                   3228 Services                   0      9,144 K
svchost.exe                   3808 Services                   0      9,576 K
svchost.exe                   3812 Services                   0     18,076 K
svchost.exe                   4232 Services                   0     16,908 K
svchost.exe                   4260 Services                   0     14,876 K
svchost.exe                   4344 Services                   0     10,876 K
svchost.exe                   4356 Services                   0     11,804 K
spoolsv.exe                   4460 Services                   0     20,328 K
armsvc.exe                    4504 Services                   0      6,396 K
AppleMobileDeviceService.     4548 Services                   0     11,528 K
cdagtsvc_v1.0.0_x86.exe       4752 Services                   0      3,776 K
mDNSResponder.exe             4760 Services                   0      5,992 K
svchost.exe                   4772 Services                   0      4,612 K
BtwRSupportService.exe        4780 Services                   0      6,268 K
svchost.exe                   4788 Services                   0     33,668 K
svchost.exe                   4796 Services                   0     35,980 K
hasplms.exe                   4804 Services                   0     21,256 K
svchost.exe                   4812 Services                   0      6,320 K
svchost.exe                   4820 Services                   0      5,236 K
svchost.exe                   4828 Services                   0      8,300 K
IpOverUsbSvc.exe              4836 Services                   0     13,772 K
svchost.exe                   4844 Services                   0      4,032 K
vmnat.exe                     4852 Services                   0      6,900 K
LDSvc.exe                     4860 Services                   0     59,416 K
InstallerService.exe          4868 Services                   0     73,956 K
PreSonusHardwareAccessSer     4876 Services                   0     17,120 K
